City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
279,Dustlik,UZ,40.5247,68.0358,280.77,71,68,2.61,broken clouds
280,Lohardaga,IN,23.4333,84.6833,290.07,26,0,1.9,clear sky
281,Lavrentiya,RU,65.5833,-171.0,244.77,93,16,1.7,few clouds
282,Fairbanks,US,64.8378,-147.7164,261.61,83,100,1.54,light snow
283,Orotukan,RU,62.2667,151.7,238.62,96,71,1.75,broken clouds
284,Mehamn,NO,71.0357,27.8492,265.05,80,95,6.18,overcast clouds
285,Dingle,PH,10.9995,122.6711,297.32,90,100,3.27,overcast clouds
286,Quatre Cocos,MU,-20.2078,57.7625,301.21,84,100,5.53,overcast clouds
287,Lompoc,US,34.6391,-120.4579,291.22,40,0,3.6,clear sky
288,Martapura,ID,-3.4167,114.85,299.2,83,100,1.54,overcast clouds
289,Nalut,LY,30.3333,10.85,293.67,15,51,6.8,broken clouds
290,Quelimane,MZ,-17.8786,36.8883,300.12,88,75,4.12,broken clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,256.48,66,40,3.0,scattered clouds
292,Rio Gallegos,AR,-51.6226,-69.2181,289.18,27,20,20.58,few clouds
293,Shimoda,JP,34.6667,138.95,276.54,94,100,9.35,overcast clouds
294,Coihaique,CL,-45.5752,-72.0662,294.49,56,0,4.12,clear sky
295,Yangambi,CD,0.8102,24.4336,310.59,18,81,1.87,broken clouds
296,Ulladulla,AU,-35.35,150.4667,291.41,82,100,2.59,overcast clouds
297,Camargo,MX,27.6667,-105.1667,278.57,38,92,1.49,overcast clouds
298,Dukat,RU,62.55,155.55,239.71,99,28,1.46,scattered clouds
299,Touros,BR,-5.1989,-35.4608,303.65,62,16,5.29,few clouds
300,Ixtapa,MX,20.7,-105.2,296.42,30,91,0.98,overcast clouds
301,Gamba,GA,-2.65,10.0,301.04,69,99,3.68,overcast clouds
302,Kushiro,JP,42.975,144.3747,266.17,96,49,2.61,scattered clouds
303,Florianopolis,BR,-27.6146,-48.5012,302.8,57,20,7.72,few clouds
304,Sangmelima,CM,2.9333,11.9833,308.39,19,75,1.16,broken clouds
305,Vilyuysk,RU,63.7553,121.6247,244.22,100,99,0.62,overcast clouds
306,Constanta,RO,44.1833,28.65,277.53,76,100,5.9,overcast clouds
307,Roanoke Rapids,US,36.4615,-77.6542,279.95,81,0,6.69,clear sky
308,Moree,AU,-29.4667,149.85,293.16,60,0,3.6,clear sky
309,Tekeli,KZ,44.83,78.8239,269.64,83,100,3.23,light snow
310,Henties Bay,NA,-22.116,14.2845,296.51,75,14,4.19,light rain
311,Tshikapa,CD,-6.4167,20.8,298.49,79,100,3.47,light rain
312,Barabai,ID,-2.5833,115.3833,297.88,84,99,0.61,overcast clouds
313,Dongsheng,CN,39.8161,109.9776,261.48,58,28,4.23,scattered clouds
314,Westport,US,41.1415,-73.3579,273.7,91,100,3.09,mist
315,General Cepeda,MX,25.3833,-101.45,278.57,54,92,1.4,overcast clouds
316,Teya,RU,60.3778,92.6267,250.66,97,43,1.92,scattered clouds
317,Trat,TH,12.5,102.5,302.03,83,83,0.17,broken clouds
318,Sondrio,IT,46.169,9.8692,282.78,32,0,1.54,clear sky
319,Coffs Harbour,AU,-30.3,153.1333,292.11,95,66,1.54,broken clouds
320,Muros,ES,42.7762,-9.0603,287.64,86,94,9.12,light rain
321,Camana,PE,-16.6228,-72.7111,296.7,74,69,4.22,broken clouds
322,Jalu,LY,29.0331,21.5482,290.36,33,75,4.08,broken clouds
323,Port Blair,IN,11.6667,92.75,299.17,69,40,2.06,haze
324,Vardo,NO,70.3705,31.1107,267.95,74,100,7.2,overcast clouds
325,Shagonar,RU,51.5333,92.8,241.71,95,55,0.36,broken clouds
326,Laela,TZ,-8.5667,32.05,293.02,89,99,1.05,light rain
327,Aklavik,CA,68.2191,-135.0107,239.61,100,93,1.02,overcast clouds
328,Eureka,US,40.8021,-124.1637,281.81,72,83,1.69,broken clouds
329,Queanbeyan,AU,-35.35,149.2333,289.92,85,92,0.0,overcast clouds
330,Morehead,US,37.2711,-87.1764,268.62,77,0,0.0,clear sky
331,Hualmay,PE,-11.0964,-77.6139,297.28,70,32,3.69,scattered clouds
332,Lerwick,GB,60.1545,-1.1494,280.15,86,100,5.24,overcast clouds
333,San Carlos De Bariloche,AR,-41.1456,-71.3082,294.01,28,0,1.54,clear sky
334,Georgetown,MY,5.4112,100.3354,302.01,89,40,1.54,light rain
335,Terrace,CA,54.5163,-128.6035,271.1,100,100,0.0,fog
336,Ereymentau,KZ,51.6199,73.1033,265.33,96,98,3.88,overcast clouds
337,Kawambwa,ZM,-9.7915,29.0791,292.33,93,98,0.89,light rain
338,Rock Sound,BS,24.9,-76.2,297.84,79,69,7.6,broken clouds
339,Edgewater,US,28.9889,-80.9023,290.94,89,100,3.19,overcast clouds
340,Abashiri,JP,44.0213,144.2697,264.23,94,99,1.79,overcast clouds
341,Campbell River,CA,50.0163,-125.2446,273.85,100,40,1.54,scattered clouds
342,Santiago Del Estero,AR,-27.7951,-64.2615,298.81,25,0,3.03,clear sky
343,Poum,NC,-20.2333,164.0167,300.09,79,100,6.49,overcast clouds
344,Waipawa,NZ,-41.4122,175.5153,283.96,87,100,4.65,light rain
345,Praxedis Guerrero,MX,31.3667,-106.0167,276.34,50,0,2.68,clear sky
